#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Feb 17 17:42:22 2023

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       gbase_top_map.ncd
#OUTPUT FILE:      gbase_top_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -2
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A25,arwen_data_b_n[8],IOBS,IO_L9N_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
A26,arwen_data_b_n[13],IOBS,IO_L10N_CC_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
A27,,,GND,,,,,,,,,,,,
A28,arwen_data_b_n[11],IOBS,IO_L14N_VREF_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
A29,arwen_data_b_p[11],IOBM,IO_L14P_23,OUTPUT,LVDS_25,23,,,,,,LOCATED,NO,NONE,
A30,amc_port_p[1][7],IOB,IO_L19P_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
A31,amc_port_n[1][6],IOB,IO_L16N_23,INPUT,LVDS_25,23,,,,NONE,,LOCATED,NO,DIFF_TERM,
A32,,,GND,,,,,,,,,,,,
A33,,IOBS,IO_L0N_11,UNUSED,,11,,,,,,,,,
AA1,,IPAD,MGTRXN1_114,UNUSED,,,,,,,,,,,
AA2,,,GND,,,,,,,,,,,,
AA3,,,MGTAVCC_114,,,,,,,,,,,,
AA4,,,MGTAVCC_114,,,,,,,,,,,,
AA5,arwen_data_b_p[27],IOBM,IO_L2P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AA6,arwen_data_b_p[26],IOBM,IO_L6P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AA7,,,GND,,,,,,,,,,,,
AA8,arwen_data_c_p[3],IOBM,IO_L3P_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AA9,arwen_data_c_n[3],IOBS,IO_L3N_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AA10,arwen_data_c_n[0],IOBS,IO_L1N_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AA11,,,GND,,,,,,,,,,,,
AA12,,,VCCINT,,,,,,,,1.0,,,,
AA13,,,GND,,,,,,,,,,,,
AA14,,,VCCINT,,,,,,,,1.0,,,,
AA15,,,GND,,,,,,,,,,,,
AA16,,,VCCINT,,,,,,,,1.0,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,,VCCINT,,,,,,,,1.0,,,,
AA19,,,GND,,,,,,,,,,,,
AA20,,,VCCINT,,,,,,,,1.0,,,,
AA21,,,GND,,,,,,,,,,,,
AA22,,,VCCO_0,,,0,,,,,any******,,,,
AA23,,,GND,,,,,,,,,,,,
AA24,dqa[2],IOB,IO_L2N_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AA25,dqa[7],IOB,IO_L0P_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AA26,dqa[6],IOB,IO_L0N_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AA27,,,GND,,,,,,,,,,,,
AA28,si_a_rst,IOB,IO_L5N_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AA29,amc_port_p[7][2],IOB,IO_L11P_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AA30,amc_port_n[7][2],IOB,IO_L11N_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AA31,amc_port_n[7][1],IOB,IO_L9N_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AA32,,,VCCO_13,,,13,,,,,any******,,,,
AA33,amc_port_n[4][2],IOB,IO_L2N_SM6N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AA34,amc_port_p[4][1],IOB,IO_L3P_SM5P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AB1,,IPAD,MGTRXP1_114,UNUSED,,,,,,,,,,,
AB2,,OPAD,MGTTXN1_114,UNUSED,,,,,,,,,,,
AB3,,,MGTAVCCPLL_114,,,,,,,,,,,,
AB4,,,GND,,,,,,,,,,,,
AB5,arwen_data_b_n[27],IOBS,IO_L2N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AB6,arwen_data_b_p[29],IOBM,IO_L1P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AB7,arwen_data_b_n[29],IOBS,IO_L1N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AB8,,IOBS,IO_L5N_22,UNUSED,,22,,,,,,,,,
AB9,,,VCCO_18,,,18,,,,,2.50,,,,
AB10,arwen_data_c_p[0],IOBM,IO_L1P_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AB11,,,VCCAUX,,,,,,,,2.5,,,,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,TCK_0,,,,,,,,,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,,VCCINT,,,,,,,,1.0,,,,
AB22,,,GND,,,,,,,,,,,,
AB23,,,RSVD_0,,,,,,,,,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,dqa[1],IOB,IO_L3P_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AB26,dqa[0],IOB,IO_L3N_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AB27,dqa[5],IOB,IO_L1P_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AB28,iic_si_sda,IOB,IO_L5P_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AB29,,,VCCO_13,,,13,,,,,any******,,,,
AB30,amc_port_p[7][0],IOB,IO_L10P_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AB31,amc_port_p[7][1],IOB,IO_L9P_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AB32,amc_port_n[5][10],IOB,IO_L6N_SM3N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AB33,amc_port_n[5][11],IOB,IO_L7N_SM2N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AB34,,,GND,,,,,,,,,,,,
AC2,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AC3,,,MGTAVTTTX_114,,,,,,,,,,,,
AC4,arwen_data_b_p[30],IOBM,IO_L0P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AC5,arwen_data_b_n[30],IOBS,IO_L0N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AC6,,,VCCO_18,,,18,,,,,2.50,,,,
AC7,arwen_data_b_p[31],IOBM,IO_L3P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AC8,,IOBM,IO_L5P_22,UNUSED,,22,,,,,,,,,
AC9,arwen_data_c_n[4],IOBS,IO_L7N_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AC10,arwen_data_c_p[4],IOBM,IO_L7P_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AC11,,,GND,,,,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,TMS_0,,,,,,,,,,,,
AC15,,,TDI_0,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,GND,,,,,,,,,,,,
AC22,,,M1_0,,,,,,,,,,,,
AC23,,,RSVD_0,,,,,,,,,,,,
AC24,iic_gp_scl[1],IOB,IO_L17N_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AC25,iic_gp_sda[1],IOB,IO_L17P_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AC26,,,GND,,,,,,,,,,,,
AC27,dqa[4],IOB,IO_L1N_21,OUTPUT,LVTTL,21,8,SLOW,,,,LOCATED,NO,NONE,
AC28,si_a_lol,IOB,IO_L4P_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AC29,,IOBS,IO_L13N_17,UNUSED,,17,,,,,,,,,
AC30,amc_port_n[7][0],IOB,IO_L10N_CC_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AC31,,,GND,,,,,,,,,,,,
AC32,amc_port_p[5][10],IOB,IO_L6P_SM3P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AC33,amc_port_p[5][11],IOB,IO_L7P_SM2P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AC34,amc_port_p[5][9],IOB,IO_L5P_SM4P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD2,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
AD3,,,MGTAVTTTX_118,,,,,,,,,,,,
AD4,arwen_data_b_p[25],IOBM,IO_L5P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AD5,arwen_data_b_n[25],IOBS,IO_L5N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AD6,arwen_data_b_p[28],IOBM,IO_L7P_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AD7,arwen_data_b_n[31],IOBS,IO_L3N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AD8,,,GND,,,,,,,,,,,,
AD9,arwen_data_c_n[2],IOBS,IO_L9N_CC_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AD10,,IOBM,IO_L10P_CC_22,UNUSED,,22,,,,,,,,,
AD11,,IOBS,IO_L10N_CC_22,UNUSED,,22,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCINT,,,,,,,,1.0,,,,
AD14,,,TDO_0,,,,,,,,,,,,
AD15,,,D_OUT_BUSY_0,,,,,,,,,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,va_write,IOB,IO_L9N_D0_FS0_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
AD20,va_ublaze,IOB,IO_L7N_D4_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
AD21,,,M0_0,,,,,,,,,,,,
AD22,,,M2_0,,,,,,,,,,,,
AD23,,,VCCO_0,,,0,,,,,any******,,,,
AD24,si_b_lol,IOB,IO_L19P_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AD25,si_b_rst,IOB,IO_L18N_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AD26,iic_si_scl,IOB,IO_L18P_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AD27,si_a_los,IOB,IO_L4N_VREF_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AD28,,,GND,,,,,,,,,,,,
AD29,,IOBS,IO_L15N_17,UNUSED,,17,,,,,,,,,
AD30,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
AD31,amc_port_p[4][0],IOB,IO_L12P_VRN_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD32,amc_port_p[5][8],IOB,IO_L11P_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD33,,,VCCO_17,,,17,,,,,any******,,,,
AD34,amc_port_n[5][9],IOB,IO_L5N_SM4N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE1,,IPAD,MGTRXP0_118,UNUSED,,,,,,,,,,,
AE2,,OPAD,MGTTXN0_118,UNUSED,,,,,,,,,,,
AE3,,,MGTAVTTRX_118,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,arwen_data_b_n[28],IOBS,IO_L7N_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AE7,,IOBM,IO_L9P_CC_18,UNUSED,,18,,,,,,,,,
AE8,arwen_data_c_p[2],IOBM,IO_L9P_CC_22,OUTPUT,LVDS_25,22,,,,,,LOCATED,NO,NONE,
AE9,,IOBS,IO_L12N_VRP_22,UNUSED,,22,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,
AE11,,IOBS,IO_L16N_22,UNUSED,,22,,,,,,,,,
AE12,vd[21],IOB,IO_L0N_CC_RS0_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE13,vd[20],IOB,IO_L0P_CC_RS1_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE14,vd[28],IOB,IO_L4P_FCS_B_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE15,,,GND,,,,,,,,,,,,
AE16,va_fifoempty,IOB,IO_L6N_D6_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
AE17,va_ready,IOB,IO_L8N_D2_FS2_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
AE18,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AE19,va_strobe,IOB,IO_L9P_D1_FS1_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
AE20,,,GND,,,,,,,,,,,,
AE21,va_fifofull,IOB,IO_L7P_D5_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,NO,NONE,
AE22,vd[26],IOB,IO_L3P_A21_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE23,vd[27],IOB,IO_L3N_A20_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AE24,si_b_los,IOB,IO_L19N_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AE25,,,GND,,,,,,,,,,,,
AE26,si_g_los,IOB,IO_L16N_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AE27,si_g_rst,IOB,IO_L16P_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AE28,vsreset,IOB,IO_L7P_21,OUTPUT,LVTTL,21,8,FAST,,,,LOCATED,NO,NONE,
AE29,,IOBM,IO_L15P_17,UNUSED,,17,,,,,,,,,
AE30,,,VCCO_17,,,17,,,,,any******,,,,
AE31,amc_port_n[4][0],IOB,IO_L12N_VRP_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE32,amc_port_n[5][8],IOB,IO_L11N_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE33,amc_port_n[5][6],IOB,IO_L8N_CC_SM1N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AE34,amc_port_n[5][7],IOB,IO_L9N_CC_SM0N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF1,,IPAD,MGTRXN0_118,UNUSED,,,,,,,,,,,
AF2,,,GND,,,,,,,,,,,,
AF3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AF4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
AF5,arwen_data_c_n[1],IOBS,IO_L10N_CC_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AF6,,IOBS,IO_L9N_CC_18,UNUSED,,18,,,,,,,,,
AF7,,,VCCO_22,,,22,,,,,2.50,,,,
AF8,,IOBM,IO_L12P_VRN_22,UNUSED,,22,,,,,,,,,
AF9,,IOBM,IO_L14P_22,UNUSED,,22,,,,,,,,,
AF10,,IOBS,IO_L14N_VREF_22,UNUSED,,22,,,,,,,,,
AF11,,IOBM,IO_L16P_22,UNUSED,,22,,,,,,,,,
AF12,,,GND,,,,,,,,,,,,
AF13,vd[24],IOB,IO_L2P_A23_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF14,vd[29],IOB,IO_L4N_VREF_FOE_B_MOSI_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF15,va_spyread,IOB,IO_L6P_D7_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
AF16,va_control,IOB,IO_L8P_D3_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
AF17,,,GND,,,,,,,,,,,,
AF18,,IOBM,IO_L8P_CC_GC_4,UNUSED,,4,,,,,,,,,
AF19,amc_port_n[5][14],IOB,IO_L6N_GC_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF20,vd[30],IOB,IO_L5P_FWE_B_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF21,vd[31],IOB,IO_L5N_CSO_B_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF22,,,GND,,,,,,,,,,,,
AF23,vd[22],IOB,IO_L1P_CC_A25_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF24,trg_led[1],IOB,IO_L13P_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AF25,tcs_rate,IOB,IO_L15P_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AF26,si_g_lol,IOB,IO_L15N_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AF27,,,GND,,,,,,,,,,,,
AF28,,IOBS,IO_L7N_21,UNUSED,,21,,,,,,,,,
AF29,,IOBM,IO_L17P_17,UNUSED,,17,,,,,,,,,
AF30,,IOBS,IO_L17N_17,UNUSED,,17,,,,,,,,,
AF31,,IOBM,IO_L14P_17,UNUSED,,17,,,,,,,,,
AF32,,,GND,,,,,,,,,,,,
AF33,amc_port_p[5][6],IOB,IO_L8P_CC_SM1P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AF34,amc_port_p[5][7],IOB,IO_L9P_CC_SM0P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG1,,IPAD,MGTRXN1_118,UNUSED,,,,,,,,,,,
AG2,,,GND,,,,,,,,,,,,
AG3,,,MGTAVCC_118,,,,,,,,,,,,
AG4,,,MGTAVCC_118,,,,,,,,,,,,
AG5,arwen_data_c_p[1],IOBM,IO_L10P_CC_18,OUTPUT,LVDS_25,18,,,,,,LOCATED,NO,NONE,
AG6,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,,,,,,,
AG7,,IOBS,IO_L14N_VREF_18,UNUSED,,18,,,,,,,,,
AG8,,IOBM,IO_L18P_22,UNUSED,,22,,,,,,,,,
AG9,,,GND,,,,,,,,,,,,
AG10,,IOBM,IO_L19P_22,UNUSED,,22,,,,,,,,,
AG11,,IOBS,IO_L19N_22,UNUSED,,22,,,,,,,,,
AG12,vd[25],IOB,IO_L2N_A22_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG13,tcs_data_n,IOB,IO_L1N_GC_D12_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG14,,,VCCO_4,,,4,,,,,any******,,,,
AG15,,IOBS,IO_L5N_GC_4,UNUSED,,4,,,,,,,,,
AG16,,IOBS,IO_L7N_GC_VRP_4,UNUSED,,4,,,,,,,,,
AG17,,IOBS,IO_L9N_CC_GC_4,UNUSED,,4,,,,,,,,,
AG18,amc_port_p[5][14],IOB,IO_L6P_GC_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG19,,,GND,,,,,,,,,,,,
AG20,amc_port_n[4][14],IOB,IO_L4N_GC_VREF_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG21,amc_port_p[4][14],IOB,IO_L4P_GC_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG22,tcs_clk_p,IOB,IO_L0P_GC_D15_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG23,vd[23],IOB,IO_L1N_CC_A24_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG24,,,GND,,,,,,,,,,,,
AG25,trg_led[0],IOB,IO_L13N_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AG26,tcs_lock,IOB,IO_L14N_VREF_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AG27,gp[1],IOB,IO_L14P_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AG28,iic_gp_sda[0],IOB,IO_L6P_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AG29,,,GND,,,,,,,,,,,,
AG30,amc_port_n[4][6],IOB,IO_L19N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG31,,IOBS,IO_L14N_VREF_17,UNUSED,,17,,,,,,,,,
AG32,amc_port_p[5][5],IOB,IO_L14P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG33,amc_port_p[5][4],IOB,IO_L12P_VRN_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG34,,,GND,,,,,,,,,,,,
AH1,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
AH2,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
AH3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,,IOBM,IO_L12P_VRN_18,UNUSED,,18,,,,,,,,,
AH6,,,GND,,,,,,,,,,,,
AH7,,IOBM,IO_L14P_18,UNUSED,,18,,,,,,,,,
AH8,,IOBS,IO_L18N_22,UNUSED,,22,,,,,,,,,
AH9,,IOBM,IO_L17P_22,UNUSED,,22,,,,,,,,,
AH10,,IOBS,IO_L17N_22,UNUSED,,22,,,,,,,,,
AH11,,,VCCO_22,,,22,,,,,2.50,,,,
AH12,tcs_data_p,IOB,IO_L1P_GC_D13_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH13,,IOBS,IO_L3N_GC_D8_4,UNUSED,,4,,,,,,,,,
AH14,,IOBM,IO_L3P_GC_D9_4,UNUSED,,4,,,,,,,,,
AH15,,IOBM,IO_L5P_GC_4,UNUSED,,4,,,,,,,,,
AH16,,,GND,,,,,,,,,,,,
AH17,,IOBM,IO_L7P_GC_VRN_4,UNUSED,,4,,,,,,,,,
AH18,,IOBM,IO_L9P_CC_GC_4,UNUSED,,4,,,,,,,,,
AH19,amc_port_n[6][14],IOB,IO_L2N_GC_D10_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH20,amc_port_p[6][14],IOB,IO_L2P_GC_D11_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH21,,,VCCO_2,,,2,,,,,3.30,,,,
AH22,tcs_clk_n,IOB,IO_L0N_GC_D14_4,INPUT,LVDS_25,4,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH23,vud[2],IOB,IO_L2P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AH24,vud[0],IOB,IO_L0P_6,OUTPUT,LVTTL,6,8,FAST,,,,LOCATED,YES,NONE,
AH25,gp[0],IOB,IO_L12N_VRP_21,OUTPUT,LVTTL,21,12,SLOW,,,,LOCATED,NO,NONE,
AH26,,,GND,,,,,,,,,,,,
AH27,clk_40mhz_vdsp,IOB,IO_L11P_CC_21,INPUT,LVTTL,21,,,,NONE,,LOCATED,NO,NONE,
AH28,iic_gp_scl[0],IOB,IO_L6N_21,BIDIR,LVTTL,21,12,SLOW,,NONE,,LOCATED,NO,NONE,
AH29,amc_port_p[4][6],IOB,IO_L19P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
